power_demand_MWh,is_weekend,hour_sin,hour_cos,resident_pop,working_pop,visitor_pop,total_visitors,renewable_energy_mwh,TA_mean,HM_mean,HM_max,tropical_night,CDD,power_1h,power_24h,power_48h,power_168h
517.438,1,0.25881904510252074,0.9659258262890683,142639.0,7073.0,76062.0,31599.0,0.08,20.225,96.25,100.0,0,0.0,548.716,520.403,517.166,531.953
495.815,1,0.49999999999999994,0.8660254037844387,142639.0,7073.0,76062.0,31599.0,0.06,20.4,96.25,100.0,0,0.0,517.438,499.434,497.81,514.465
483.764,1,0.7071067811865475,0.7071067811865476,142639.0,7073.0,76062.0,31599.0,0.35,20.35,96.75,100.0,0,0.0,495.815,486.777,487.061,537.044
479.69,1,0.8660254037844386,0.5000000000000001,142639.0,7073.0,76062.0,31599.0,0.7,20.125,97.5,100.0,0,0.0,483.764,485.109,483.441,506.045
483.361,1,0.9659258262890683,0.25881904510252074,142639.0,7073.0,76062.0,31599.0,0.7799999999999999,20.25,97.75,100.0,0,0.0,479.69,490.552,491.478,496.881
498.296,1,1.0,6.123233995736766e-17,142639.0,7073.0,76062.0,31599.0,5.97,20.45,98.0,100.0,0,0.0,483.361,511.379,517.874,507.275
513.216,1,0.9659258262890683,-0.25881904510252063,142639.0,7073.0,76062.0,31599.0,23.94,20.95,97.5,100.0,0,0.0,498.296,538.35,566.878,525.423
539.226,1,0.8660254037844387,-0.4999999999999998,142639.0,7073.0,76062.0,31599.0,45.419999999999995,21.2,96.0,99.0,0,0.0,513.216,569.876,629.379,545.424
553.902,1,0.7071067811865476,-0.7071067811865475,142639.0,7073.0,76062.0,31599.0,64.2,21.875,93.75,99.0,0,0.0,539.226,591.869,671.963,566.111
571.966,1,0.49999999999999994,-0.8660254037844387,142639.0,7073.0,76062.0,31599.0,83.60000000000001,22.725,91.25,97.0,0,0.0,553.902,619.003,695.403,579.549
587.895,1,0.258819045102521,-0.9659258262890682,142639.0,7073.0,76062.0,31599.0,84.25,22.95,89.75,94.0,0,0.0,571.966,629.072,685.009,577.678
605.144,1,1.2246467991473532e-16,-1.0,142639.0,7073.0,76062.0,31599.0,64.04,22.325000000000003,91.75,98.0,0,0.0,587.895,622.265,669.386,590.129
591.756,1,-0.2588190451025208,-0.9659258262890683,142639.0,7073.0,76062.0,31599.0,80.97999999999999,22.3,92.5,99.0,0,0.0,605.144,616.892,684.964,614.509
605.888,1,-0.4999999999999997,-0.8660254037844388,142639.0,7073.0,76062.0,31599.0,64.08,23.25,88.0,92.0,0,0.0,591.756,622.209,668.74,617.582
602.565,1,-0.7071067811865471,-0.7071067811865479,142639.0,7073.0,76062.0,31599.0,49.18,22.7,90.75,98.0,0,0.0,605.888,623.745,661.548,615.937
614.682,1,-0.8660254037844384,-0.5000000000000004,142639.0,7073.0,76062.0,31599.0,33.81,23.375,89.25,95.0,0,0.0,602.565,623.664,666.07,628.957
631.327,1,-0.9659258262890683,-0.25881904510252063,142639.0,7073.0,76062.0,31599.0,20.96,22.4,93.75,99.0,0,0.0,614.682,636.12,671.248,644.902
641.564,1,-1.0,-1.8369701987210297e-16,142639.0,7073.0,76062.0,31599.0,14.33,22.725,93.5,99.0,0,0.0,631.327,643.21,672.142,658.987
656.16,1,-0.9659258262890684,0.2588190451025203,142639.0,7073.0,76062.0,31599.0,8.48,22.65,92.25,99.0,0,0.0,641.564,653.539,675.685,674.497
662.232,1,-0.8660254037844386,0.5000000000000001,142639.0,7073.0,76062.0,31599.0,5.5,21.725,94.75,98.0,0,0.0,656.16,655.013,672.457,680.447
641.417,1,-0.7071067811865477,0.7071067811865474,142639.0,7073.0,76062.0,31599.0,1.01,21.675,95.5,100.0,0,0.0,662.232,635.792,649.743,656.227
